N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
62,한국조선해양,"79,700","1,900",+2.44%,"5,000","56,406","70,773",19.73,"294,198",-4.37,-7.42,
63,메리츠화재,"45,850","4,050",-8.12%,500,"55,307","120,625",12.34,"874,966",9.51,16.91,
64,KODEX 200,"36,250",945,+2.68%,0,"55,118","152,050",6.87,"7,546,434",N/A,N/A,
65,맥쿼리인프라,"13,500",250,+1.89%,0,"54,654","404,846",13.39,"1,259,352",N/A,N/A,
66,미래에셋증권,"8,500",420,+5.20%,"5,000","54,002","635,316",13.04,"1,786,815",5.81,8.94,
67,강원랜드,"24,800",900,+3.77%,500,"53,057","213,940",19.40,"821,016",-161.04,-7.92,
68,SKC,"140,000","2,000",-1.41%,"5,000","53,016","37,868",16.55,"338,308",28.52,2.21,
69,CJ제일제당,"346,000","14,000",+4.22%,"5,000","52,087","15,054",22.23,"69,722",11.80,13.50,
70,현대제철,"38,900",600,+1.57%,"5,000","51,910","133,446",20.91,"868,203",5.96,-2.59,
71,코웨이,"69,500",400,-0.57%,500,"51,291","73,800",60.67,"238,288",11.51,31.51,
72,현대건설,"42,200","3,700",+9.61%,"5,000","46,992","111,356",22.67,"1,691,416",28.06,1.84,
73,삼성중공업,"5,180",100,+1.97%,"1,000","45,584","880,000",13.60,"3,366,453",-2.11,-33.06,
74,금호석유,"145,500","2,000",+1.39%,"5,000","44,080","30,296",19.80,"148,900",2.60,20.18,
75,일진머티리얼즈,"93,700","1,300",-1.37%,500,"43,206","46,111",13.26,"558,868",68.00,7.23,
76,DB손해보험,"60,200",100,+0.17%,500,"42,622","70,800",42.96,"161,813",5.35,9.08,
77,삼성엔지니어링,"21,550",850,+4.11%,"5,000","42,238","196,000",35.74,"1,334,708",11.93,17.32,
78,한국타이어앤테크놀로지,"33,650",950,+2.91%,500,"41,684","123,875",41.18,"394,458",6.31,5.12,
