,index,rating,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count
90,90,4.29,19.0,5.0,5.0,1.0,1.0
91,91,3.46,20.0,7.0,8.0,6.0,9.0
92,92,4.1,11184.0,4152.0,2919.0,1174.0,1315.0
93,93,3.7,1726.0,654.0,568.0,324.0,548.0
94,94,3.77,15.0,3.0,5.0,4.0,3.0
95,95,3.57,17.0,9.0,4.0,5.0,7.0
96,96,4.54,10.0,2.0,0.0,0.0,1.0
97,97,3.64,95.0,33.0,32.0,16.0,36.0
98,98,3.32,36.0,24.0,23.0,19.0,19.0
99,99,4.11,17.0,4.0,3.0,1.0,3.0
100,100,3.18,17.0,19.0,12.0,8.0,16.0
101,101,3.96,685.0,257.0,187.0,72.0,137.0
102,102,2.8,2.0,3.0,5.0,0.0,5.0
103,103,3.89,558.0,242.0,159.0,75.0,127.0
104,104,3.97,18.0,1.0,5.0,1.0,4.0
105,105,3.61,254.0,155.0,102.0,61.0,96.0
106,106,3.82,62.0,26.0,23.0,6.0,17.0
107,107,3.96,743.0,338.0,258.0,110.0,107.0
108,108,4.2,66.0,13.0,18.0,3.0,7.0
109,109,3.77,725.0,376.0,272.0,112.0,209.0
110,110,2.61,3.0,2.0,5.0,1.0,7.0
111,111,3.93,1427.0,614.0,452.0,180.0,273.0
112,112,5.0,,,,,
113,113,4.3,6.0,2.0,1.0,1.0,0.0
114,114,4.12,143.0,48.0,24.0,12.0,22.0
115,115,3.67,2.0,0.0,0.0,0.0,1.0
116,116,4.5,1.0,1.0,0.0,0.0,0.0
117,117,4.0,7.0,1.0,2.0,1.0,1.0
118,118,4.16,1782.0,565.0,332.0,123.0,238.0
119,119,3.71,10.0,5.0,0.0,2.0,4.0
120,120,4.75,3.0,1.0,0.0,0.0,0.0
121,121,5.0,2.0,0.0,0.0,0.0,0.0
122,122,3.0,0.0,1.0,0.0,1.0,0.0
123,123,4.11,75.0,24.0,19.0,10.0,7.0
124,124,3.59,7.0,9.0,7.0,1.0,3.0
125,125,3.61,59.0,16.0,20.0,7.0,25.0
126,126,5.0,,,,,
127,127,3.99,809.0,322.0,238.0,100.0,131.0
128,128,4.03,17.0,6.0,2.0,1.0,4.0
129,129,5.0,1.0,0.0,0.0,0.0,0.0
130,130,3.73,71.0,23.0,23.0,11.0,22.0
131,131,3.99,520.0,180.0,120.0,67.0,93.0
132,132,4.38,654.0,178.0,94.0,32.0,38.0
133,133,3.08,3.0,3.0,3.0,0.0,4.0
134,134,4.11,450.0,150.0,88.0,35.0,69.0
135,135,3.6,500.0,241.0,207.0,126.0,180.0
136,136,3.78,120.0,73.0,55.0,22.0,29.0
137,137,4.05,4640.0,1964.0,1121.0,493.0,686.0
138,138,3.53,15.0,9.0,2.0,5.0,7.0
139,139,4.6,3.0,2.0,0.0,0.0,0.0
140,140,3.72,447.0,201.0,135.0,81.0,144.0
141,141,4.16,3906.0,1326.0,869.0,343.0,416.0
142,142,4.04,267.0,86.0,60.0,18.0,50.0
143,143,3.6,10.0,4.0,5.0,3.0,3.0
144,144,3.89,1099.0,449.0,362.0,154.0,230.0
145,145,3.49,16.0,11.0,10.0,5.0,7.0
146,146,3.07,11.0,3.0,1.0,3.0,10.0
147,147,3.11,6.0,6.0,5.0,5.0,5.0
148,148,4.07,148.0,44.0,40.0,15.0,20.0
149,149,3.96,4468.0,1850.0,1277.0,583.0,782.0
150,150,4.0,19.0,5.0,1.0,3.0,4.0
151,151,3.97,180.0,74.0,49.0,28.0,28.0
152,152,3.19,327.0,170.0,211.0,128.0,244.0
153,153,3.67,6.0,2.0,1.0,0.0,3.0
154,154,2.5,0.0,1.0,0.0,0.0,1.0
155,155,3.82,5.0,3.0,1.0,0.0,2.0
156,156,2.92,2.0,1.0,6.0,0.0,3.0
157,157,3.75,101.0,36.0,38.0,15.0,29.0
158,158,4.16,1695.0,721.0,416.0,140.0,163.0
159,159,4.29,476.0,128.0,90.0,34.0,33.0
160,160,3.68,73.0,36.0,31.0,12.0,25.0
161,161,3.63,245.0,102.0,121.0,55.0,78.0
162,162,3.0,0.0,2.0,0.0,0.0,1.0
163,163,3.06,9.0,5.0,5.0,3.0,9.0
164,164,3.76,20.0,13.0,10.0,2.0,6.0
165,165,3.81,8.0,4.0,6.0,3.0,0.0
166,166,2.67,1.0,0.0,0.0,1.0,1.0
167,167,3.76,70.0,31.0,16.0,12.0,22.0
168,168,3.46,8.0,5.0,6.0,0.0,5.0
169,169,3.29,384.0,146.0,158.0,98.0,256.0
170,170,2.0,0.0,1.0,0.0,0.0,2.0
171,171,4.14,50.0,18.0,15.0,8.0,2.0
172,172,3.28,165.0,50.0,83.0,49.0,102.0
173,173,3.89,5.0,2.0,0.0,0.0,2.0
174,174,3.14,9.0,4.0,6.0,2.0,8.0
175,175,3.98,398.0,163.0,112.0,54.0,65.0
176,176,4.04,305.0,87.0,78.0,29.0,49.0
177,177,3.76,77.0,32.0,26.0,7.0,26.0
178,178,4.16,17.0,7.0,4.0,1.0,2.0
179,179,3.07,3.0,2.0,5.0,1.0,3.0
180,180,3.35,30.0,13.0,11.0,5.0,20.0
181,181,3.89,5.0,2.0,0.0,0.0,2.0
182,182,3.83,23.0,13.0,5.0,6.0,5.0
