,index,units_sold,매출
512,512,50,193.0
513,513,5000,45000.0
514,514,5000,29450.0
515,515,1000,11000.0
516,516,20000,160000.0
517,517,10000,80000.0
518,518,10,110.0
519,519,10,110.0
520,520,100,800.0
521,521,50,100.0
522,522,100,566.0
523,523,100,900.0
524,524,100,800.0
525,525,1000,9000.0
526,526,1000,2760.0
527,527,100,383.0
528,528,10000,70000.0
529,529,1000,6000.0
530,530,100,800.0
531,531,1000,8000.0
532,532,100,266.0
533,533,20000,160000.0
534,534,1000,8000.0
535,535,5000,18350.0
536,536,20000,240000.0
537,537,20000,260000.0
538,538,5000,45000.0
539,539,50,450.0
540,540,100,800.0
541,541,10000,120000.0
542,542,100,500.0
543,543,5000,30000.0
544,544,1000,14000.0
545,545,5000,40000.0
546,546,20000,160000.0
547,547,20000,160000.0
548,548,20000,360000.0
549,549,100,393.0
550,550,100,1100.0
551,551,100,600.0
552,552,1000,8000.0
553,553,100,1100.0
554,554,5000,35000.0
555,555,100,1200.0
556,556,100,1100.0
557,557,100,1100.0
558,558,50,150.0
559,559,5000,25000.0
560,560,1000,9000.0
561,561,1000,8000.0
562,562,20000,180000.0
563,563,20000,220000.0
564,564,20000,220000.0
565,565,10000,70000.0
566,566,100,393.0
567,567,100,700.0
568,568,100,800.0
569,569,5000,35000.0
570,570,10,37.0
571,571,100,800.0
572,572,1000,8000.0
573,573,100,394.0
574,574,1000,15000.0
575,575,1000,5000.0
576,576,100,577.0
577,577,100,467.0
578,578,100,1100.0
579,579,5000,29500.0
580,580,100,370.0
581,581,1000,5000.0
582,582,5000,45000.0
583,583,100,1600.0
584,584,10000,60000.0
585,585,1000,16000.0
586,586,1000,3760.0
587,587,1000,8000.0
588,588,100,1100.0
589,589,100,800.0
590,590,1000,12000.0
591,591,5000,40000.0
592,592,100,1100.0
593,593,10000,50000.0
594,594,1000,5000.0
595,595,1000,7000.0
596,596,5000,40000.0
597,597,3,45.0
598,598,1000,12000.0
599,599,100,700.0
600,600,5000,65000.0
601,601,100,900.0
602,602,100,500.0
603,603,1000,14000.0
604,604,10000,70000.0
605,605,10000,130000.0
606,606,1000,2000.0
607,607,100,473.00000000000006
608,608,20000,220000.0
609,609,5000,40000.0
610,610,5000,23700.0
611,611,10000,80000.0
612,612,100,800.0
613,613,100,800.0
614,614,100,595.0
615,615,100,365.0
616,616,5000,14050.0
617,617,10000,46600.0
618,618,10,50.0
619,619,1000,5000.0
620,620,100,800.0
621,621,1000,13000.0
622,622,5000,40000.0
623,623,100,800.0
624,624,100,700.0
625,625,1000,12000.0
626,626,1000,5000.0
627,627,1000,13000.0
628,628,10000,140000.0
629,629,10000,70000.0
630,630,20000,120000.0
631,631,5000,40000.0
632,632,100,500.0
